<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.02	1.07620	1.07791	1.07053	1.07074	55740	0	0
2023.06.05	1.07117	1.07224	1.06746	1.07130	49968	0	0
2023.06.06	1.07117	1.07328	1.06671	1.06926	48411	0	0
2023.06.07	1.06928	1.07398	1.06685	1.06984	49633	0	0
2023.06.08	1.06987	1.07872	1.06931	1.07820	53389	0	0
2023.06.09	1.07814	1.07851	1.07429	1.07480	45777	0	0
2023.06.12	1.07472	1.07903	1.07332	1.07571	45488	0	0
2023.06.13	1.07560	1.08236	1.07523	1.07931	59101	0	0
2023.06.14	1.07935	1.08642	1.07739	1.08245	61568	0	0
2023.06.15	1.08261	1.09527	1.08038	1.09447	59313	0	0
2023.06.16	1.09445	1.09708	1.09178	1.09358	55796	0	0
2023.06.19	1.09395	1.09464	1.09072	1.09215	34448	0	0
2023.06.20	1.09215	1.09463	1.08924	1.09180	55487	0	0
2023.06.21	1.09178	1.09909	1.09056	1.09859	62302	0	0
2023.06.22	1.09859	1.10120	1.09486	1.09556	57422	0	0
2023.06.23	1.09556	1.09584	1.08444	1.08887	62308	0	0
2023.06.26	1.09047	1.09201	1.08872	1.09060	44178	0	0
2023.06.27	1.09058	1.09768	1.09022	1.09605	54560	0	0
2023.06.28	1.09605	1.09626	1.08970	1.09129	55045	0	0
2023.06.29	1.09128	1.09413	1.08603	1.08637	58394	0	0
2023.06.30	1.08636	1.09319	1.08355	1.09083	57821	0	0
2023.07.03	1.09103	1.09340	1.08704	1.09107	47689	0	0
2023.07.04	1.09104	1.09166	1.08767	1.08790	28681	0	0
2023.07.05	1.08792	1.09079	1.08510	1.08539	50874	0	0
2023.07.06	1.08537	1.09006	1.08337	1.08856	72551	0	0
2023.07.07	1.08851	1.09733	1.08670	1.09644	66939	0	0
2023.07.10	1.09593	1.10015	1.09435	1.10013	50791	0	0
2023.07.11	1.10014	1.10272	1.09770	1.10083	49412	0	0
2023.07.12	1.10079	1.11403	1.10013	1.11299	67321	0	0
2023.07.13	1.11280	1.12279	1.11242	1.12259	63753	0	0
2023.07.14	1.12259	1.12450	1.12042	1.12226	64018	0	0
2023.07.17	1.12297	1.12489	1.12033	1.12335	50919	0	0
2023.07.18	1.12335	1.12758	1.12090	1.12283	69521	0	0
2023.07.19	1.12282	1.12401	1.11743	1.11986	65634	0	0
2023.07.20	1.11986	1.12291	1.11184	1.11297	61975	0	0
2023.07.21	1.11297	1.11450	1.11079	1.11260	56231	0	0
2023.07.24	1.11215	1.11471	1.10603	1.10644	62086	0	0
2023.07.25	1.10638	1.10869	1.10208	1.10485	53494	0	0
2023.07.26	1.10483	1.11067	1.10379	1.10858	69973	0	0
2023.07.27	1.10857	1.11497	1.09659	1.09762	86739	0	0
2023.07.28	1.09762	1.10475	1.09436	1.10132	91001	0	0
2023.07.31	1.10204	1.10459	1.09936	1.09968	63233	0	0
2023.08.01	1.09966	1.10030	1.09524	1.09844	56211	0	0
2023.08.02	1.09842	1.10197	1.09181	1.09380	73695	0	0
2023.08.03	1.09380	1.09630	1.09124	1.09488	72306	0	0
2023.08.04	1.09492	1.10419	1.09352	1.10050	70193	0	0
2023.08.07	1.10119	1.10169	1.09655	1.10024	50336	0	0
2023.08.08	1.10024	1.10112	1.09292	1.09562	65758	0	0
2023.08.09	1.09561	1.09954	1.09498	1.09738	57158	0	0
2023.08.10	1.09741	1.10653	1.09673	1.09808	78367	0	0
2023.08.11	1.09807	1.10050	1.09430	1.09444	65778	0	0
2023.08.14	1.09485	1.09603	1.08748	1.09054	69297	0	0
2023.08.15	1.09054	1.09524	1.08969	1.09024	81351	0	0
2023.08.16	1.09018	1.09346	1.08716	1.08792	78886	0	0
2023.08.17	1.08790	1.09183	1.08566	1.08722	80773	0	0
2023.08.18	1.08722	1.08940	1.08450	1.08684	70333	0	0
2023.08.21	1.08678	1.09137	1.08651	1.08954	64611	0	0
2023.08.22	1.08954	1.09304	1.08330	1.08454	64302	0	0
2023.08.23	1.08453	1.08714	1.08025	1.08633	73413	0	0
2023.08.24	1.08633	1.08767	1.08050	1.08102	68122	0	0
2023.08.25	1.08102	1.08418	1.07659	1.07946	76951	0	0
2023.08.28	1.07959	1.08224	1.07935	1.08189	53917	0	0
2023.08.29	1.08188	1.08920	1.07821	1.08798	70085	0	0
2023.08.30	1.08792	1.09455	1.08552	1.09233	72549	0	0
2023.08.31	1.09232	1.09396	1.08352	1.08434	69069	0	0
2023.09.01	1.08435	1.08820	1.07721	1.07732	74743	0	0
2023.09.04	1.07742	1.08089	1.07717	1.07935	31780	0	0
2023.09.05	1.07937	1.07984	1.07064	1.07219	62189	0	0
2023.09.06	1.07222	1.07489	1.07025	1.07271	62944	0	0
2023.09.07	1.07271	1.07318	1.06862	1.06961	56511	0	0
2023.09.08	1.06961	1.07438	1.06941	1.06997	55488	0	0
2023.09.11	1.07146	1.07594	1.07078	1.07502	55700	0	0
2023.09.12	1.07500	1.07691	1.07055	1.07541	54067	0	0
2023.09.13	1.07540	1.07648	1.07110	1.07292	74107	0	0
2023.09.14	1.07291	1.07523	1.06319	1.06431	74497	0	0
2023.09.15	1.06428	1.06878	1.06333	1.06539	63125	0	0
2023.09.18	1.06584	1.06987	1.06547	1.06917	45816	0	0
2023.09.19	1.06916	1.07180	1.06751	1.06792	47982	0	0
2023.09.20	1.06777	1.07368	1.06501	1.06603	67003	0	0
2023.09.21	1.06600	1.06735	1.06170	1.06586	72549	0	0
2023.09.22	1.06584	1.06717	1.06150	1.06434	62981	0	0
2023.09.25	1.06497	1.06556	1.05753	1.05930	54846	0	0
2023.09.26	1.05930	1.06090	1.05621	1.05729	57585	0	0
2023.09.27	1.05727	1.05742	1.04881	1.05026	69339	0	0
